Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
1,Walmart,WMT,1,"$500,343 ",3.00%,"$9,862.00 ",-27.70%,"$204,522 ","$263,563 ","2,300,000",C. Douglas McMillon,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Bentonville, Ark.",http://www.stock.walmart.com,24,http://fortune.com/fortune500/walmart/
2,Exxon Mobil,XOM,4,"$244,363 ",17.40%,"$19,710.00 ",151.40%,"$348,691 ","$316,157 ","71,200",Darren W. Woods,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,24,http://fortune.com/fortune500/exxon-mobil/
3,Berkshire Hathaway,BRK.A,2,"$242,137 ",8.30%,"$44,940.00 ",86.70%,"$702,095 ","$492,008 ","377,000",Warren E. Buffett,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Omaha,http://www.berkshirehathaway.com,24,http://fortune.com/fortune500/berkshire-hathaway/
4,Apple,AAPL,3,"$229,234 ",6.30%,"$48,351.00 ",5.80%,"$375,319 ","$851,318 ","123,000",Timothy D. Cook,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,24,http://fortune.com/fortune500/apple/
5,UnitedHealth Group,UNH,6,"$201,159 ",8.80%,"$10,558.00 ",50.50%,"$139,058 ","$207,080 ","260,000",David S. Wichmann,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,24,http://fortune.com/fortune500/unitedhealth-group/
6,McKesson,MCK,5,"$198,533 ",3.10%,"$5,070.00 ",124.50%,"$60,969 ","$29,067 ","64,500",John H. Hammergren,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,San Francisco,http://www.mckesson.com,24,http://fortune.com/fortune500/mckesson/
7,CVS Health,CVS,7,"$184,765 ",4.10%,"$6,622.00 ",24.50%,"$95,131 ","$63,114 ","203,000",Larry J. Merlo,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,24,http://fortune.com/fortune500/cvs-health/
8,Amazon.com,AMZN,12,"$177,866 ",30.80%,"$3,033.00 ",27.90%,"$131,310 ","$700,668 ","566,000",Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer",Retailing,Internet Services and Retailing,Seattle,http://www.amazon.com,17,http://fortune.com/fortune500/amazon-com/
9,AT&T,T,9,"$160,546 ",-2.00%,"$29,450.00 ",127.00%,"$444,097 ","$218,946 ","254,000",Randall L. Stephenson,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Dallas,http://www.att.com,24,http://fortune.com/fortune500/att/
10,General Motors,GM,8,"$157,311 ",-5.50%,"($3,864.00)",-141.00%,"$212,482 ","$50,972 ","180,000",Mary T. Barra,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.gm.com,24,http://fortune.com/fortune500/general-motors/
11,Ford Motor,F,10,"$156,776 ",3.30%,"$7,602.00 ",65.40%,"$257,808 ","$44,244 ","202,000",James P. Hackett,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",http://www.corporate.ford.com,24,http://fortune.com/fortune500/ford-motor/
12,AmerisourceBergen,ABC,11,"$153,144 ",4.30%,$364.50 ,-74.50%,"$35,317 ","$18,938 ","19,500",Steven H. Collis,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,24,http://fortune.com/fortune500/amerisourcebergen/
13,Chevron,CVX,19,"$134,533 ",25.10%,"$9,195.00 ",,"$253,806 ","$217,845 ","51,900",Michael K. Wirth,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",http://www.chevron.com,24,http://fortune.com/fortune500/chevron/
14,Cardinal Health,CAH,15,"$129,976 ",6.90%,"$1,288.00 ",-9.70%,"$40,112 ","$19,726 ","40,400",Michael C. Kaufmann,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",http://www.cardinalhealth.com,24,http://fortune.com/fortune500/cardinal-health/
15,Costco,COST,16,"$129,025 ",8.70%,"$2,679.00 ",14.00%,"$36,347 ","$82,687 ","182,000",W. Craig Jelinek,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Issaquah, Wash.",http://www.costco.com,24,http://fortune.com/fortune500/costco/
16,Verizon,VZ,14,"$126,034 ",,"$30,101.00 ",129.30%,"$257,143 ","$197,497 ","155,400",Lowell C. McAdam,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,New York City,http://www.verizon.com,24,http://fortune.com/fortune500/verizon/
17,Kroger,KR,18,"$122,662 ",6.40%,"$1,907.00 ",-3.40%,"$37,197 ","$20,828 ","449,000",W. Rodney McMullen,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,Cincinnati,http://www.thekrogerco.com,24,http://fortune.com/fortune500/kroger/
18,General Electric,GE,13,"$122,274 ",-3.50%,"($5,786.00)",-165.50%,"$377,945 ","$117,054 ","313,000",John L. Flannery Jr.,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Boston,http://www.ge.com,24,http://fortune.com/fortune500/general-electric/
19,Walgreens Boots Alliance,WBA,17,"$118,214 ",0.70%,"$4,078.00 ",-2.30%,"$66,009 ","$64,924 ","290,000",Stefano Pessina,Vice Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",http://www.walgreensbootsalliance.com,24,http://fortune.com/fortune500/walgreens-boots-alliance/
20,JPMorgan Chase,JPM,21,"$113,899 ",8.00%,"$24,441.00 ",-1.20%,"$2,533,600 ","$375,043 ","252,539",James Dimon,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.jpmorganchase.com,24,http://fortune.com/fortune500/jpmorgan-chase/
21,Fannie Mae,FNMA,20,"$112,394 ",4.90%,"$2,463.00 ",-80.00%,"$3,345,529 ","$1,633 ","7,200",Timothy J. Mayopoulos,"President, Chief Executive Officer & Director",Financials,Diversified Financials,Washington,http://www.fanniemae.com,21,http://fortune.com/fortune500/fannie-mae/
22,Alphabet,GOOGL,27,"$110,855 ",22.80%,"$12,662.00 ",-35.00%,"$197,295 ","$719,124 ","80,110",Larry Page,Chief Executive Officer & Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",http://www.abc.xyz,13,http://fortune.com/fortune500/alphabet/
23,Home Depot,HD,23,"$100,904 ",6.70%,"$8,630.00 ",8.50%,"$44,529 ","$206,272 ","413,000",Craig A. Menear,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Atlanta,http://www.homedepot.com,24,http://fortune.com/fortune500/home-depot/
24,Bank of America Corp.,BAC,26,"$100,264 ",7.00%,"$18,232.00 ",1.80%,"$2,281,234 ","$306,618 ","209,376",Brian T. Moynihan,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Charlotte, N.C.",http://www.bankofamerica.com,24,http://fortune.com/fortune500/bank-of-america-corp/
25,Express Scripts Holding,ESRX,22,"$100,065 ",-0.20%,"$4,517.40 ",32.70%,"$54,256 ","$38,791 ","26,600",Timothy C. Wentworth,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,St. Louis,http://www.express-scripts.com,19,http://fortune.com/fortune500/express-scripts-holding/
26,Wells Fargo,WFC,25,"$97,741 ",3.80%,"$22,183.00 ",1.10%,"$1,951,757 ","$255,556 ","262,700",Timothy J. Sloan,"President, Chief Executive Officer & Director",Financials,Commercial Banks,San Francisco,http://www.wellsfargo.com,24,http://fortune.com/fortune500/wells-fargo/
27,Boeing,BA,24,"$93,392 ",-1.20%,"$8,197.00 ",67.50%,"$92,333 ","$192,539 ","140,800",Dennis A. Muilenburg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,Chicago,http://www.boeing.com,24,http://fortune.com/fortune500/boeing/
28,Phillips ,PSX,34,"$91,568 ",26.50%,"$5,106.00 ",228.40%,"$54,371 ","$44,730 ","14,600",Greg C. Garland,Chairman & Chief Executive Officer,Energy,Petroleum Refining,Houston,http://www.phillips66.com,6,http://fortune.com/fortune500/phillips-66/
29,Anthem,ANTM,29,"$90,040 ",6.10%,"$3,842.80 ",55.60%,"$70,540 ","$56,182 ","56,000",Gail K. Boudreaux,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,Indianapolis,http://www.antheminc.com,24,http://fortune.com/fortune500/anthem/
30,Microsoft,MSFT,28,"$89,950 ",5.40%,"$21,204.00 ",26.20%,"$241,086 ","$702,760 ","124,000",Satya Nadella,Chief Executive Officer & Director,Technology,Computer Software,"Redmond, Wash.",http://www.microsoft.com,24,http://fortune.com/fortune500/microsoft/
31,Valero Energy,VLO,37,"$88,407 ",26.00%,"$4,065.00 ",77.60%,"$50,158 ","$39,977 ","10,015",Joseph W. Gorder,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,San Antonio,http://www.valero.com,20,http://fortune.com/fortune500/valero-energy/
32,Citigroup,C,30,"$87,966 ",6.80%,"($6,798.00)",-145.60%,"$1,842,465 ","$172,822 ","209,000",Michael L. Corbat,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.citigroup.com,24,http://fortune.com/fortune500/citigroup/
33,Comcast,CMCSA,31,"$84,526 ",5.10%,"$22,714.00 ",161.20%,"$186,949 ","$158,703 ","164,000",Brian L. Roberts,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Philadelphia,http://www.comcastcorporation.com,23,http://fortune.com/fortune500/comcast/
34,IBM,IBM,32,"$79,139 ",-1.00%,"$5,753.00 ",-51.50%,"$125,356 ","$141,335 ","397,800",Virginia M. Rometty,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Armonk, N.Y.",http://www.ibm.com,24,http://fortune.com/fortune500/ibm/
35,Dell Technologies,,41,"$78,660 ",21.40%,"($3,728.00)",,"$122,281 ",,"145,000",Michael S. Dell,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Round Rock, Texas",http://www.delltechnologies.com,21,http://fortune.com/fortune500/dell-technologies/
36,State Farm Insurance Cos.,,33,"$78,331 ",2.90%,"$2,206.50 ",529.90%,"$272,345 ",,"65,664",Michael L. Tipsord,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",http://www.statefarm.com,24,http://fortune.com/fortune500/state-farm-insurance-cos/
37,Johnson & Johnson,JNJ,35,"$76,450 ",6.30%,"$1,300.00 ",-92.10%,"$157,303 ","$343,780 ","134,000",Alex Gorsky,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",http://www.jnj.com,24,http://fortune.com/fortune500/johnson-johnson/
38,Freddie Mac,FMCC,39,"$74,676 ",13.70%,"$5,625.00 ",-28.00%,"$2,049,776 ",$878 ,"6,165",Donald H. Layton,Chairman & Chief Executive Officer,Financials,Diversified Financials,"McLean, Va.",http://www.freddiemac.com,21,http://fortune.com/fortune500/freddie-mac/
39,Target,TGT,38,"$71,879 ",3.40%,"$2,934.00 ",7.20%,"$38,999 ","$37,409 ","345,000",Brian C. Cornell,Chairman & Chief Executive Officer,Retailing,General Merchandisers,Minneapolis,http://www.target.com,24,http://fortune.com/fortune500/target/
40,Lowe’s,LOW,40,"$68,619 ",5.50%,"$3,447.00 ",11.40%,"$35,291 ","$72,812 ","255,000",Robert A. Niblock,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,"Mooresville, N.C.",http://www.lowes.com,24,http://fortune.com/fortune500/lowes/
41,Marathon Petroleum,MPC,51,"$67,610 ",21.00%,"$3,432.00 ",192.30%,"$49,047 ","$34,683 ","43,800",Gary R. Heminger,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",http://www.marathonpetroleum.com,7,http://fortune.com/fortune500/marathon-petroleum/
42,Procter & Gamble,PG,36,"$66,217 ",-7.70%,"$15,326.00 ",45.90%,"$120,406 ","$199,865 ","95,000",David S. Taylor,"Chairman, President & Chief Executive Officer",Household Products,Household and Personal Products,Cincinnati,http://www.pg.com,24,http://fortune.com/fortune500/procter-gamble/
43,MetLife,MET,42,"$66,153 ",4.20%,"$4,010.00 ",401.30%,"$719,892 ","$47,572 ","49,000",Steven A. Kandarian,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",New York City,http://www.metlife.com,24,http://fortune.com/fortune500/metlife/
44,UPS,UPS,46,"$65,872 ",8.20%,"$4,910.00 ",43.10%,"$45,403 ","$90,156 ","346,415",David P. Abney,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Atlanta,http://www.ups.com,24,http://fortune.com/fortune500/ups/
45,PepsiCo,PEP,44,"$63,525 ",1.20%,"$4,857.00 ",-23.30%,"$79,804 ","$154,933 ","263,000",Indra K. Nooyi,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",http://www.pepsico.com,24,http://fortune.com/fortune500/pepsico/
46,Intel,INTC,47,"$62,761 ",5.70%,"$9,601.00 ",-6.90%,"$123,249 ","$243,109 ","102,700",Brian M. Krzanich,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.intel.com,24,http://fortune.com/fortune500/intel/
47,DowDuPont,DWDP,62,"$62,683 ",30.20%,"$1,460.00 ",-66.20%,"$192,164 ","$148,186 ","98,000","
Edward D. Breen",Chief Executive Officer,Chemicals,Chemicals,"Midland, Mich.",www.dow-dupont.com,24,http://fortune.com/fortune500/dow-chemical/
48,Archer Daniels Midland,ADM,45,"$60,828 ",-2.40%,"$1,595.00 ",24.70%,"$39,963 ","$24,238 ","31,300",Juan R. Luciano,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,Chicago,http://www.adm.com,24,http://fortune.com/fortune500/archer-daniels-midland/
49,Aetna,AET,43,"$60,535 ",-4.10%,"$1,904.00 ",-16.20%,"$55,151 ","$55,229 ","47,950",Mark T. Bertolini,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Hartford, Conn.",http://www.aetna.com,18,http://fortune.com/fortune500/aetna/
50,FedEx,FDX,58,"$60,319 ",19.80%,"$2,997.00 ",64.70%,"$48,552 ","$64,161 ","357,000",Frederick W. Smith,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Memphis,http://www.fedex.com,24,http://fortune.com/fortune500/fedex/
51,United Technologies,UTX,50,"$59,837 ",4.50%,"$4,552.00 ",-10.00%,"$96,920 ","$100,667 ","204,700",Gregory J. Hayes,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",http://www.utc.com,24,http://fortune.com/fortune500/united-technologies/
52,Prudential Financial,PRU,48,"$59,689 ",1.50%,"$7,863.00 ",80.00%,"$831,921 ","$43,686 ","49,705",John R. Strangfeld,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newark, N.J.",http://www.prudential.com,24,http://fortune.com/fortune500/prudential-financial/
53,Albertsons Cos.,,49,"$59,678 ",1.60%,($373.30),,"$23,755 ",,"273,000",Robert G. Miller,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Boise, Idaho",http://www.albertsons.com,14,http://fortune.com/fortune500/albertsons-cos/
54,Sysco,SYY,57,"$55,371 ",9.90%,"$1,142.50 ",20.30%,"$17,757 ","$31,294 ","66,500",Thomas L. Bene,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,Houston,http://www.sysco.com,24,http://fortune.com/fortune500/sysco/
55,Disney,DIS,52,"$55,137 ",-0.90%,"$8,980.00 ",-4.40%,"$95,789 ","$151,029 ","199,000",Robert A. Iger,Chairman & Chief Executive Officer,Media,Entertainment,"Burbank, Calif.",http://www.disney.com,24,http://fortune.com/fortune500/disney/
56,Humana,HUM,53,"$53,767 ",-1.10%,"$2,448.00 ",298.70%,"$27,178 ","$37,122 ","45,900",Bruce D. Broussard,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",http://www.humana.com,24,http://fortune.com/fortune500/humana/
57,Pfizer,PFE,54,"$52,546 ",-0.50%,"$21,308.00 ",195.30%,"$171,797 ","$211,115 ","90,200",Ian C. Read,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,New York City,http://www.pfizer.com,24,http://fortune.com/fortune500/pfizer/
58,HP,HPQ,61,"$52,056 ",7.90%,"$2,526.00 ",1.20%,"$32,913 ","$35,893 ","49,000",Dion J. Weisler,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hp.com,24,http://fortune.com/fortune500/hp/
59,Lockheed Martin,LMT,56,"$51,048 ",0.80%,"$2,002.00 ",-62.20%,"$46,521 ","$96,589 ","100,000",Marillyn A. Hewson,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",http://www.lockheedmartin.com,24,http://fortune.com/fortune500/lockheed-martin/
60,AIG,AIG,55,"$49,520 ",-5.40%,"($6,084.00)",,"$498,301 ","$49,145 ","49,800",Brian Duperreault,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.aig.com,24,http://fortune.com/fortune500/aig/
61,Centene,CNC,66,"$48,572 ",19.30%,$828.00 ,47.30%,"$21,855 ","$18,704 ","33,700",Michael F. Neidorff,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,St. Louis,http://www.centene.com,9,http://fortune.com/fortune500/centene/
62,Cisco Systems,CSCO,60,"$48,005 ",-2.50%,"$9,609.00 ",-10.50%,"$129,818 ","$206,623 ","72,900",Charles H. Robbins,Chairman & Chief Executive Officer,Technology,Network and Other Communications Equipment,"San Jose, Calif.",http://www.cisco.com,22,http://fortune.com/fortune500/cisco-systems/
63,HCA Healthcare,HCA,63,"$47,653 ",6.50%,"$2,216.00 ",-23.30%,"$36,593 ","$34,165 ","221,491",R. Milton Johnson,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,Nashville,www.hcahealthcare.com,24,http://fortune.com/fortune500/hca-holdings/
64,Energy Transfer Equity,ETE,79,"$47,487 ",26.60%,$954.00 ,-4.10%,"$86,246 ","$15,335 ","29,486",John W. McReynolds,President & Director,Energy,Pipelines,Dallas,http://www.energytransfer.com,12,http://fortune.com/fortune500/energy-transfer-equity/
65,Caterpillar,CAT,74,"$45,462 ",18.00%,$754.00 ,,"$76,962 ","$88,078 ","98,400",D. James Umpleby III,Chairman & Chief Executive Officer,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",http://www.caterpillar.com,24,http://fortune.com/fortune500/caterpillar/
66,Nationwide,,68,"$43,940 ",9.60%,$246.50 ,-26.20%,"$221,257 ",,"33,135",Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",http://www.nationwide.com,24,http://fortune.com/fortune500/nationwide/
67,Morgan Stanley,MS,76,"$43,642 ",15.00%,"$6,111.00 ",2.20%,"$851,733 ","$96,688 ","57,633",James P. Gorman,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.morganstanley.com,24,http://fortune.com/fortune500/morgan-stanley/
68,Liberty Mutual Insurance Group,,75,"$42,687 ",11.40%,$17.00 ,-98.30%,"$142,502 ",,"50,000",David H. Long,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Boston,http://www.libertymutual.com,24,http://fortune.com/fortune500/liberty-mutual-insurance-group/
69,New York Life Insurance,,65,"$42,296 ",3.70%,"$1,866.90 ",71.60%,"$303,183 ",,"11,114",Theodore A. Mathas,Chairman & Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.newyorklife.com,24,http://fortune.com/fortune500/new-york-life-insurance/
70,Goldman Sachs Group,GS,78,"$42,254 ",12.00%,"$4,286.00 ",-42.10%,"$916,776 ","$95,463 ","36,600",Lloyd C. Blankfein,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.gs.com,19,http://fortune.com/fortune500/goldman-sachs-group/
71,American Airlines Group,AAL,67,"$42,207 ",5.00%,"$1,919.00 ",-28.30%,"$51,396 ","$24,584 ","126,600",W. Douglas Parker,Chairman & Chief Executive Officer,Transportation,Airlines,Fort Worth,http://www.aa.com,24,http://fortune.com/fortune500/american-airlines-group/
72,Best Buy,BBY,72,"$42,151 ",7.00%,"$1,000.00 ",-18.60%,"$13,049 ","$20,460 ","125,000",Hubert B. Joly,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Richfield, Minn.",http://www.bestbuy.com,24,http://fortune.com/fortune500/best-buy/
73,Cigna,CI,70,"$41,616 ",4.90%,"$2,237.00 ",19.80%,"$61,753 ","$40,735 ","46,000",David M. Cordani,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",http://www.cigna.com,24,http://fortune.com/fortune500/cigna/
74,Charter Communications,CHTR,96,"$41,581 ",43.40%,"$9,895.00 ",180.90%,"$146,623 ","$80,954 ","94,800",Thomas M. Rutledge,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,"Stamford, Conn.",http://www.charter.com,18,http://fortune.com/fortune500/charter-communications/
75,Delta Air Lines,DAL,71,"$41,244 ",4.00%,"$3,577.00 ",-18.20%,"$53,292 ","$38,746 ","86,564",Edward H. Bastian,Chairman & Chief Executive Officer,Transportation,Airlines,Atlanta,http://www.delta.com,24,http://fortune.com/fortune500/delta-air-lines/
76,Facebook,FB,98,"$40,653 ",47.10%,"$15,934.00 ",56.00%,"$84,524 ","$464,190 ","25,105",Mark Zuckerberg,Chairman & Chief Executive Officer,Technology,Internet Services and Retailing,"Menlo Park, Calif.",http://www.facebook.com,6,http://fortune.com/fortune500/facebook/
77,Honeywell International,HON,73,"$40,534 ",3.10%,"$1,655.00 ",-65.60%,"$59,387 ","$108,149 ","131,000",Darius Adamczyk,"President, Chief Executive Officer & Director",Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",http://www.honeywell.com,24,http://fortune.com/fortune500/honeywell-international/
78,Merck,MRK,69,"$40,122 ",0.80%,"$2,394.00 ",-38.90%,"$87,872 ","$146,862 ","69,000",Kenneth C. Frazier,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,"Kenilworth, N.J.",http://www.merck.com,24,http://fortune.com/fortune500/merck/
79,Allstate,ALL,84,"$38,524 ",5.40%,"$3,189.00 ",69.90%,"$112,422 ","$33,478 ","42,680",Thomas J. Wilson,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",http://www.allstate.com,23,http://fortune.com/fortune500/allstate/
80,Tyson Foods,TSN,82,"$38,260 ",3.70%,"$1,774.00 ",0.30%,"$28,066 ","$29,233 ","122,000",Thomas P. Hayes,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",http://www.tysonfoods.com,24,http://fortune.com/fortune500/tyson-foods/
81,United Continental Holdings,UAL,83,"$37,736 ",3.20%,"$2,131.00 ",-5.80%,"$42,326 ","$19,778 ","89,800",Oscar Munoz,Chairman & Chief Executive Officer,Transportation,Airlines,Chicago,http://www.united.com,24,http://fortune.com/fortune500/united-continental-holdings/
82,Oracle,ORCL,81,"$37,728 ",1.80%,"$9,335.00 ",4.90%,"$134,991 ","$186,766 ","138,000",Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer & Director,Technology,Computer Software,"Redwood City, Calif.",http://www.oracle.com,23,http://fortune.com/fortune500/oracle/
83,Tech Data,TECD,107,"$36,775 ",40.20%,$116.60 ,-40.20%,"$12,653 ","$3,249 ","14,000",Richard T. Hume,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",http://www.techdata.com,24,http://fortune.com/fortune500/tech-data/
84,TIAA,,80,"$36,025 ",-2.90%,"$1,049.70 ",-29.70%,"$583,632 ",,"16,829",Roger W. Ferguson Jr.,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.tiaa.org,21,http://fortune.com/fortune500/tiaa/
85,TJX,TJX,87,"$35,865 ",8.10%,"$2,607.90 ",13.50%,"$14,058 ","$51,571 ","249,000",Ernie L. Herrman,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Apparel,"Framingham, Mass.",http://www.tjx.com,24,http://fortune.com/fortune500/tjx/
86,American Express,AXP,86,"$35,583 ",5.20%,"$2,736.00 ",-49.40%,"$181,159 ","$80,234 ","55,000",Stephen J. Squeri,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.americanexpress.com,24,http://fortune.com/fortune500/american-express/
87,Coca-Cola,KO,64,"$35,410 ",-15.40%,"$1,248.00 ",-80.90%,"$87,896 ","$185,207 ","61,800",James R. Quincey,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,Atlanta,http://www.coca-colacompany.com,24,http://fortune.com/fortune500/coca-cola/
88,Publix Super Markets,,85,"$34,837 ",1.60%,"$2,291.90 ",13.10%,"$18,184 ",,"193,000",Randall T. Jones Sr.,"President, Chief Executive Officer & Director",Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",http://www.publix.com,24,http://fortune.com/fortune500/publix-super-markets/
89,Nike,NKE,88,"$34,350 ",6.10%,"$4,240.00 ",12.80%,"$23,259 ","$108,094 ","74,400",Mark G. Parker,"Chairman, President & Chief Executive Officer",Apparel,Apparel,"Beaverton, Ore.",http://www.nike.com,24,http://fortune.com/fortune500/nike/
90,Andeavor,ANDV,117,34204,42.50%,"$1,528.00 ",108.20%,"$28,573 ","$15,386 ","14,300",Gregory J. Goff,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,San Antonio,www.andeavor.com,19,http://fortune.com/fortune500/andeavor/
91,World Fuel Services,INT,103,"$33,696 ",24.70%,($170.20),-234.50%,"$5,588 ","$1,661 ","5,000",Michael J. Kasbar,Chairman & Chief Executive Officer,Energy,Energy,Miami,http://www.wfscorp.com,14,http://fortune.com/fortune500/world-fuel-services/
92,Exelon,EXC,89,"$33,531 ",6.90%,"$3,770.00 ",232.50%,"$116,700 ","$37,644 ","34,621",Christopher M. Crane,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,Chicago,http://www.exeloncorp.com,24,http://fortune.com/fortune500/exelon/
93,Massachusetts Mutual Life Insurance,,77,"$33,495 ",-11.40%,$513.00 ,-59.70%,"$288,855 ",,"11,811",Roger W. Crandall,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",http://www.massmutual.com,24,http://fortune.com/fortune500/massachusetts-mutual-life-insurance/
94,Rite Aid,RAD,91,"$32,845 ",6.90%,$4.10 ,-97.60%,"$11,594 ","$1,793 ","70,430",John T. Standley,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Camp Hill, Pa.",http://www.riteaid.com,24,http://fortune.com/fortune500/rite-aid/
95,ConocoPhillips,COP,115,"$32,584 ",33.80%,($855.00),,"$73,362 ","$69,641 ","11,400",Ryan M. Lance,Chairman & Chief Executive Officer,Energy,"Mining, Crude-Oil Production",Houston,http://www.conocophillips.com,24,http://fortune.com/fortune500/conocophillips/
